Voltage (V);Current (A);Temp (C);SOC (estimated);SOC (messured)
4,183022725;2,986150526;25,02914081;0,795683768;0,805866396
4,197779388;2,568250958;25,08107638;0,823410233;0,832494042
4,197712726;2,157257419;24,87398969;0,846494699;0,854553734
4,1976189;1,898969963;24,7074057;0,864630142;0,873661098
4,1976189;1,712743724;24,7074057;0,882373144;0,890648527
4,1976189;1,54575952;24,44530136;0,901152818;0,905997329
4,1976189;1,391969595;24,49714327;0,915642258;0,919891067
4,1976189;1,243013661;24,49714327;0,926653804;0,932355469
4,1976189;1,092120425;24,12173425;0,936931943;0,943357952
4,1976189;0,942932375;24,31457698;0,945524337;0,95298849
4,1976189;0,799812012;24,29150396;0,954075472;0,961270425
4,1976189;0,668862084;24,00843605;0,962657682;0,96818786
4,1976189;0,554728956;24,14835761;0,969976664;0,973979489
4,1976189;0,454722366;24,06596771;0,977165398;0,978788279
4,1976189;0,369565085;23,9139594;0,983785857;0,982680149
4,1976189;0,303737509;24,07661842;0,988964862;0,985880792
4,1976189;0,246665843;23,84291835;0,994444039;0,988529431
4,1976189;0,201195284;23,74063934;0,999081392;0,990684917
4,1976189;0,166903225;23,9714972;1;0,992466812
4,1976189;0,139701417;23,82657142;1;0,993964291
4,1976189;0,116028137;23,65610356;1;0,995219836
4,1976189;0,098450888;23,92675598;1;0,996279833
4,1976189;0,084406017;23,83829524;1;0,997189053
4,1976189;0,071440271;23,86211748;1;0,997975148
4,1976189;0,062703807;23,79780252;1;0,998648984
4,1976189;0,054060731;23,93525298;1;0,999245952
4,1976189;0,047975874;23,76123477;1;0,999772169
4,195766576;0,007661903;23,8379717;1;1
4,194720958;-0,005436166;23,8219483;1;1
4,193497667;-0,005436166;23,74913634;1;1
4,192639917;-0,005436166;23,65610356;1;1
4,191866313;-0,005436166;23,81382592;1;1
4,191123572;-0,005436166;23,78150667;1;1
4,190555219;-0,005436166;23,68019825;1;1
4,190149653;-0,005436166;23,71686817;1;1
4,189618556;-0,005436166;23,94305183;1;1
4,189175364;-0,005436166;23,86636598;1;1
4,188769018;-0,005436166;23,7974279;1;1
4,188421697;-0,005436166;23,7978536;1;1
4,18814311;-0,005436166;23,87066557;1;1
